Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
?,"API-MS-WIN-CORE-KERNEL32-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-CORE-PRIVATEPROFILE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-SHUTDOWN-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-SERVICE-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"EXT-MS-WIN-NTUSER-UICONTEXT-EXT-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"IESHIMS.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
,"API-MS-WIN-CORE-LOCALIZATION-PRIVATE-L1-1-0.DLL",2013-08-22 04:17:24,2013-08-22 04:17:24,3072,HA,0x0000E6E5,0x0000E6E5,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-MEMORY-L1-1-0.DLL",2013-08-22 04:17:25,2013-08-22 04:17:25,3072,HA,0x00004D59,0x00004D59,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-MEMORY-L1-1-2.DLL",2013-08-22 04:17:28,2013-08-22 04:17:28,3584,HA,0x0000CDFB,0x0000CDFB,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-NAMEDPIPE-L1-2-0.DLL",2013-08-22 04:17:25,2013-08-22 04:17:25,3072,HA,0x00009B2C,0x00009B2C,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-NAMESPACE-L1-1-0.DLL",2013-08-22 04:17:35,2013-08-22 04:17:35,2560,HA,0x00002953,0x00002953,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-NORMALIZATION-L1-1-0.DLL",2013-08-22 04:17:35,2013-08-22 04:17:35,2560,HA,0x00005488,0x00005488,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-PATH-L1-1-0.DLL",2013-08-22 04:17:35,2013-08-22 04:17:35,3072,HA,0x00000DA0,0x00000DA0,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-PROCESSENVIRONMENT-L1-1-0.DLL",2013-08-22 04:17:15,2013-08-22 04:17:15,3584,HA,0x0000E9F5,0x0000E9F5,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PROCESSENVIRONMENT-L1-2-0.DLL",2013-08-22 04:17:15,2013-08-22 04:17:15,3584,HA,0x00010911,0x00010911,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-PROCESSSECURITY-L1-1-0.DLL",2013-08-22 04:17:15,2013-08-22 04:17:15,2560,HA,0x000080B8,0x000080B8,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PROCESSTHREADS-L1-1-0.DLL",2013-08-22 04:17:25,2013-08-22 04:17:25,4096,HA,0x000063C2,0x000063C2,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PROCESSTHREADS-L1-1-1.DLL",2013-08-22 04:17:29,2013-08-22 04:17:29,4608,HA,0x00010630,0x00010630,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PROCESSTHREADS-L1-1-2.DLL",2013-08-22 04:17:31,2013-08-22 04:17:31,4608,HA,0x00008162,0x00008162,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PROCESSTOPOLOGY-L1-2-0.DLL",2013-08-22 04:17:36,2013-08-22 04:17:36,2560,HA,0x00007CBC,0x00007CBC,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-PROCESSTOPOLOGY-OBSOLETE-L1-1-0.DLL",2013-08-22 04:17:36,2013-08-22 04:17:36,2560,HA,0x00008E3D,0x00008E3D,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PROFILE-L1-1-0.DLL",2013-08-22 04:17:26,2013-08-22 04:17:26,2560,HA,0x0000BD85,0x0000BD85,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PSAPI-ANSI-L1-1-0.DLL",2013-08-22 04:17:35,2013-08-22 04:17:35,2560,HA,0x00007944,0x00007944,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-PSAPI-L1-1-0.DLL",2013-08-22 04:17:36,2013-08-22 04:17:36,3072,HA,0x0000CF3D,0x0000CF3D,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
